Question	Answer	Source
Просмотр и редактирование запросов на разъяснение документации		Editorial
Просмотр ответов по запросам на разъяснение документации	 Просмотреть ответы по запросам на разъяснение документации можно в Личном кабинете или в открытой части площадки. **Просмотр запросов на разъяснение/ответов на отправленные запросы в открытой части площадки:**  \n Для этого откройте нужную закупку, перейдите в раздел «Запросы на разъяснение документации» и нажмите на ссылку текста разъяснения. Откроется форма «Разъяснение документации …», где будут размещены текст запроса и текст ответа с прикрепленными к ним файлами.**Просмотр запросов на разъяснение/ответов на отправленные запросы в Личном кабинете:**1.  Войдите в Личный кабинет Участника;\n2.  Перейдите в раздел «Закупки», далее  «Мои запросы»;\n3.  Откройте необходимый реестр запросов на разъяснение документации.Состояние Вашего запроса на текущий момент отображается в статусе запроса. Статус запроса меняется в зависимости от получения ответа на него.	Editorial
Создание запроса на разъяснение результатов аукциона	 Для направления запроса на разъяснение результатов ЭА:1.  Войдите в Личный кабинет по электронной подписи;\n2.  В разделе «Закупки», далее «Поиск закупок» найдите необходимую процедуру, откройте извещение;\n3.  Нажмите кнопку «Запросить разъяснение»;\n4.  Введите текст запроса в поле «Текст запроса»;\n5.  При необходимости добавьте документ в поле «Документы»;\n6.  Нажмите «Подписать и отправить»;\n7.  Подтвердите действие направления запроса, нажатием кнопки «Да».Статус запроса изменится на «Отправлен».Предоставление ответа по запросу на разъяснение результатов ЭА осуществляется Оператором ЭП в течение 2 рабочих дней со дня поступления запроса.	Editorial
Просмотр ответов по запросам на разъяснение результатов ЭА	 Просмотреть ответы по запросам на разъяснение документации можно только в Личном кабинете. Для просмотра запросов на разъяснение/ответов на отправленные запросы в Личном кабинете:1.  Войдите в Личный кабинет Участника;\n2.  Перейдите в раздел «Закупки», далее  «Мои запросы»;\n3.  Откройте необходимый реестр.Состояние Вашего запроса на текущий момент отображается в статусе запроса. Статус запроса меняется в зависимости от получения ответа на него.	Editorial
Подача заявки на участие в предварительном отборе	**​Ответ Оператора:** Для подачи заявки:1.  Войдите в Личный кабинет по электронной подписи;\n2.  Перейдите в раздел "Закупки";\n3.  Выберите подраздел "Поиск" / "Поиск закупок";\n4.  Выберите нужную закупку и откройте извещение;\n5.  Нажмите кнопку "Подать заявку";\n6.  Заполните открывшуюся форму заявки в соответствии с требованиями:В разделе "Прилагаемые документы" необходимо добавить список документов, которые требуются в заявке на участие в соответствии с ПП № 615.  \n Список этих документов размещен ниже в "Перечне документов, необходимых для участия в предварительных отборах по ПП РФ №615". При нажатии на наименование раздела или значок раскрывающегося списка открывается подсказка с набором документов, необходимым для прикрепления в форму заявки.  \n Для прикрепления документа:  \n 1. В поле "Наименование документа" выберите из выпадающего списка тип документа;  \n 2. Нажмите кнопку "Добавить" или "Добавить из Кейса".1.  После заполнения формы нажмите кнопку "Подписать и отправить".Заявка перейдет в статус "Утверждена оператором".	Editorial
Внесение изменений в поданную заявку на участие	Отредактировать заявку на участие Участник может 2 способами:1 способ: Отозвать заявку, затем внести изменения;2 способ: Нажать кнопку "Внести изменения", при этом заявка автоматически будет отозвана. "Для внесения изменений в поданную заявку на участие:1.  В Личном кабинете войдите в раздел "Закупки" / "Мои заявки";\n2.  Нажмите на номер заявки на участие;\n3.  Вверху страницы нажмите кнопку "Внести изменения";\n4.  Отобразится предупреждение, что заявка будет автоматически отозвана, нажмите "Да";\n5.  Отредактируйте необходимые поля;\n6.  Для повторной отправки заявки нажмите кнопку "Подписать и отправить".Статус заявки на участие изменится на "Отправлена оператору", затем изменится на "Утверждена оператором"".	Editorial
Отзыв заявки на участие	 "Для отзыва заявки на участие:1.  В Личном кабинете войдите в раздел "Закупки" / "Мои заявки";\n2.  Нажмите на номер заявки на участие;\n3.  Вверху страницы нажмите кнопку "Отозвать заявку".Заявка перейдет в статус "Отозвана участником".	Editorial
Статусы заявок на участие		Editorial
Подача заявки на участие в электронном аукционе	 "Подать заявку на участие в электронном аукционе по ПП РФ №615 имеет возможность только Участник, включенный в Реестр квалифицированных подрядных организаций по результатам проведения предварительного отбора. В случае отсутствия Участника в РКПО кнопка "Подать заявку" будет скрыта в форме извещения.Перед подачей заявки на участие проверьте, что на виртуальном счете достаточно свободных денежных средств для участия в процедуре (обеспечение заявки + тариф).Для подачи заявки на участие в электронном аукционе:1.  Войдите в Личный кабинет по электронной подписи;\n2.  Перейдите в раздел "Закупки";\n3.  Выберите подраздел "Поиск закупок";\n4.  Выберите нужную закупку и откройте извещение;\n5.  Нажмите кнопку "Подать заявку";\n6.  Заполните открывшуюся форму заявки в соответствии с требованиями документации Заказчика;В разделе "Документы и сведения об участнике электронного аукциона" прикрепите документы в соответствии с документацией Заказчика (кнопка "Добавить" или "Добавить из Кейса").Заполните поле:*   "Сведения об организационно-правовой форме, идентификационный номер налогоплательщика (при наличии) учредителей, членов коллегиального исполнительного органа, лица, исполняющего функции единоличного исполнительного органа участника электронного аукциона" - для юридического лица;\n*   "Паспортные данные" - для индивидуального предпринимателя.В разделе "Сведения об участнике закупки" в поле "Номер контактного телефона" укажите контактный телефон (вручную или нажмите кнопку "Заполнить").1.  После заполнения формы нажмите кнопку "Подписать и отправить".Заявка перейдет в статус "Отправлена оператору". После поступления заявки в систему, происходит блокировка денежных средств в размере обеспечения заявки на участие и тарифа площадки по этой закупке. Если денежных средств на виртуальном счете достаточно, статус заявки поменяется на "Утверждена оператором".	Editorial
Участие в аукционном торге	 Для участия в аукционном торге:1.  Войдите в Личный кабинет по электронной подписи;\n2.  Перейдите в раздел «Закупки», далее «Мои торги/переторжки»;\n3.  Нажмите на номер закупки;\n4.  В разделе «Лот №» нажмите кнопку «Информация о торгах», далее «Подача ценовых предложений»;\n5.  В таблице «Текущее состояние» в поле «Новое ценовое предложение» укажите ценовое предложение (для удобства подачи ставки указан диапазон возможных ценовых предложений) и нажмите кнопку «Подписать».Для просмотра всех поданных ценовых предложений вверху страницы нажмите кнопку «Статистика по лоту». Страница обновляется автоматически, вручную обновление страницы не производится. 	Editorial
Разблокирование денежных средств в размере обеспечения заявки и тарифа площадки	 Разблокирование денежных средств в размере обеспечения заявки и тарифа площадки осуществляется в соответствии с Соглашением о гарантийном обеспечении на ЭП ООО "РТС-тендер" "Система комплексных программных решений для организации, проведения и сопровождения полного цикла закупки". Блокирование обеспечения заявки и тарифа площадки прекращается в течение одного рабочего дня в следующих случаях:*   Внесение изменений в извещение Организатором закупки о проведении закупки, повлекшее за собой изменение размера обеспечения заявки (п. 4.7.1 Соглашения);\n*   Не заключение Заказчиком договора с иными Участниками, которым в соответствии с Положением о закупках предлагается по результатам Закупки заключить договор после Победителя закупки в связи с заключением такого договора с Победителем закупки (п. 4.7.2 Соглашения);\n*   Отсутствие ценовых предложений в период проведения аукционного торга от Участника аукциона (п. 4.7.3 Соглашения);\n*   Отклонение заявки Участника закупки (п. 4.7.4 Соглашения);\n*   Отмена (аннулирование) закупки (п. 4.7.5 Соглашения);\n*   Отзыв Участником заявки на участие (п. 4.7.6 Соглашения);\n*   Отсутствие Участника ЭП в списке Участников закупки, с которыми по итогам Закупки может быть заключен договор (п. 4.7.7 Соглашения);\n*   Подача заявки на участие в закупки после окончания срока подачи заявок (п. 4.7.8 Соглашения)."	Editorial
Блокирование денежных средств		Editorial
Разблокирование денежных средств в размере обеспечения заявки	Если с Участника списан тариф площадки (случаи списания тарифа указаны в статье "[Списание тарифа](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=1019838)"), то обеспечение заявки разблокируется. Разблокирование денежных средств в размере обеспечения заявки осуществляется в соответствии с Соглашением о гарантийном обеспечении на ЭП ООО "РТС-тендер" "Система комплексных программных решений для организации, проведения и сопровождения полного цикла закупки".**Блокирование обеспечения заявки **прекращается в течение 1 рабочего дня в случаях:*   Заключения договора (п. 4.8.1 Соглашения);\n*   Отказа Заказчика от заключения договора без признания Участника уклонившимся от заключения договора (п. 4.8.2 Соглашения);\n*   Получения Оператором ЭП информации о не включении уклонившегося Участника в РНП от уполномоченного органа (ФАС) (п. 4.8.3 Соглашения);\n*   Не размещения Заказчиком на ЭП информации о статусе договора по результатам закупки в течение 90 дней с момента публикации протокола результатов закупки на ЭП (п. 4.8.4 Соглашения).**Блокирование денежных средств в размере гарантийного обеспечения заявки и лицензионного вознаграждения сохраняется**, в случаях если:*   Закупка на ЭП заблокирована (полностью или в части заключения договоров);\n*   Наличие карточки договора в статусе "Договор направлен участнику", "Договор подписан участником", "Договор подписан участником вне срока"."	Editorial
Акты сверок	"Акты сверок предоставляются бухгалтерией по запросу.Для получения актов сверок направьте официальный запрос на адрес электронной почты [info223@rts-tender.ru](mailto:info223@rts-tender.ru). Запрос должен быть оформлен на фирменном бланке организации на имя генерального директора ООО "РТС-тендер" Лишенкова Владимира Николаевича и содержать следующие сведения:*   Наименование и ИНН организации;\n*   Срок за который требуется предоставить сверку;\n*   Почтовый адрес Участника".	Editorial
Предоставление закрывающих документов	 "Акты выполненных работ датируются датой транзакций по списанию на оплату услуг в Личном кабинете Поставщика. Документы выставляются  в начале каждого месяца за предыдущий и отправляются Почтой России на почтовый адрес Участника. Дополнительно, документы в электронном виде отображаются в Личном кабинете, которые формируется в течении 3 рабочих дней после окончания месяца, в котором была исполнена транзакция. Для просмотра:1.  Перейдите в раздел "Финансы и документы";\n2.  Откройте подраздел "Счета и транзакции";\n3.  В нижней части страницы в секции "Документы" отображаются закрывающие документы в электронном виде.	Editorial
Сроки зачисления денежных средств	 Сроки зачисления денежных средств определяются в соответствии с Соглашением о гарантийном обеспечении на ЭП ООО "РТС-тендер" "Система комплексных программных решений для организации, проведения и сопровождения полного цикла закупки". Все денежные средства, перечисленные Клиентом ЭП, зачисляются на виртуальный счет не позднее одного рабочего дня, следующего за днем поступления.Платежи разносятся по виртуальным счетам каждый рабочий день по факту поступления денежных средств (банковский + рабочий день). Данные о поступлении денежных средств обновляются ежедневно по рабочим дням в:*   10-00;\n*   12-00;\n*   15-30;\n*   18-00 (по МСК).Сторонняя организация / физ. лицо также могут перечислить денежные средства за Участника размещения заказа (если Участник размещения заказа - ЮЛ или ИП). Для этого в платежном поручении в поле "Назначение платежа" необходимо указать за какую организацию производится зачисление, её ИНН и виртуальный счет.Если Участник размещения заказа - ФЗ, то Оператор ЭП осуществляет зачисление на виртуальный счет Участника закупки (ФЛ) только тех денежных средств, которые поступили лично от такого Участника закупки, с любого расчетного счета, принадлежащего Участнику закупки, либо со счета организации, предоставившей денежные средства в качестве кредита.	Editorial
Сроки отзыва денежных средств	 "Сроки возврата денежных средств с виртуального счета Участника определяются в соответствии с Соглашением о гарантийном обеспечении на ЭП ООО "РТС-тендер" "Система комплексных программных решений для организации, проведения и сопровождения полного цикла закупки". На основании п. 4.15 Соглашения отзыв  денежных средств осуществляется в течение 5 рабочих дней со дня получения Оператором ЭП соответствующего заявления." 	Editorial
Создание бланка пополнения счета	Для создания платежного поручения:1.  Войдите в Личный кабинет;\n2.  Перейдите в раздел "Финансы и документы"/"Счета и транзакции";\n3.  Нажмите на номер виртуального счета;\n4.  Откроется страница "Просмотр счета ...", вверху страницы нажмите кнопку "Создать бланк пополнения счета";\n5.  Введите сумму, на которую вы хотите пополнить счет в поле "Сумма";\n6.  Нажите кнопку "Подать заявление".Автоматически сгенерируется платежное поручение.	Editorial
Создание запроса на отзыв денежных средств	 "Для отзыва денежных средств:1.  Войдите в Личный кабинет по элекронной подписи;\n2.  Перейдите в раздел "Финансы и документы" / "Счета и транзакции";\n3.  Нажмите на номер виртуального счета;\n4.  Откроется страница "Просмотр счёта ...";\n5.  Нажмите кнопку "Создать запрос отзыва денежных средств";\n6.  Откроется бланк возврата;\n7.  В поле "Сумма" укажите сумму, которую планируете отозвать;\n8.  При необходимости выберите нужные рекизиты для отзыва в поле "Реквизит";\n9.  Нажмите кнопку подать заявление.Указанная сумма отобразится в разделе "Сумма на снятие"."	Editorial
Отмена бухгалтером отзыва денежных средств участника по причине: Ключ счета получателя не верен	**Причина:** Заблокировано системой Клиент банк по причине: "Ключ счета получателя не верен, должен быть 4 (9, 2 и т.д.)", это означает, что реквизиты в Личном кабинете указаны неверно (как правило, не совпадают БИК и расчетный счет банка).**Решение:**1.  Проверьте реквизиты, указанные в Личном кабинете;\n2.  Ппри необходимости внесите изменения и повторно отправьте запрос на отзыв денежных средств.	Editorial
Реквизиты площадки	 Для просмотра реквизитов площадки войдите на главную страницу РТС-тендер / внизу страницы (на сером фоне) выберите столбец "223-ФЗ", далее нажмите на ссылку "Реквизиты".**Реквизиты, действующие до 20.03.2017:**Получатель: ООО «РТС-тендер»   \n Наименование банка: ВТБ БАНК ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО   \n Расчетный счёт: 40702810200260000817   \n Корр. счёт: 30101810700000000187   \n БИК: 044525187   \n ИНН: 7710357167   \n КПП: 773001001   \n Назначение платежа: Средства для обеспечения участия в закупках на ЭП "СКПР" (вирт. счет. № …). НДС не облагается. **Реквизиты, действующие с 20.03.2017:**Получатель: ООО «РТС-тендер»  \n Наименование банка: МОСКОВСКИЙ ФИЛИАЛ ПАО "СОВКОМБАНК" Г. МОСКВА  \n Расчетный счёт: 40702810900005001157  \n Корр. счёт: 30101810945250000967  \n БИК: 044525967  \n ИНН: 7710357167  \n КПП: 773001001  \n Назначение платежа: Средства для обеспечения участия в закупках на ЭП "РТС-тендер" для корпоративных закупок (вирт. счет. № ……..) НДС не облагается.**Примечание: **С 20 марта 2017 года в течение одного месяца платежи, полученные по старым реквизитам, будут зачисляться в прежнем порядке.	Editorial
Перевод денежных средств на виртуальный счет другой организации	 "Перевод денежных средств с виртуального счета РТС-тендер одной организации на виртуальный счет другой организации невозможен".	Editorial
Номер виртуального счета	*   ИНН и наименование организации;\n*   ФИО пользователя и кодовое слово.**Ответ Оператора: "**Номер виртуального счета доступен для просмотра в Личном кабинете:1.  Войдите в Личный кабинет;\n2.  Перейдите в раздел "Финансы и документы", далее "Счета и транзакции".Номер виртуального счета имеет следующий формат:  XX.XXXXX.XXXXX - 223".	Editorial
Количество денежных средств на виртуальном счете	1.  Пользователь сообщит ИНН организации;\n2.  Пользователь сообщит кодовую фразу.В отсутствии данной информации у Участника Оператор обязан отказать в разглашении данных обратившемуся.       "Информация о состоянии виртуального счета является конфиденциальной. Вы может самостоятельно просмотреть данную информацию в Личном кабинете в разделе "Финансы и документы"/"Счета и транзакции".                                                       	Editorial
Ускорение зачисления денежных средств	Ускорение зачисления денежных средств возможно если:*   До окончания срока подачи заявок осталось менее 2-х рабочих дней ( т.е. денежные средства не успеют поступить до окончания срока подачи заявок);\n*   Зачисляемая сумма не превышает 100 тыс. рублей.*   Проверьте  дату окончания срока подачи заявок по процедуре;\n*   Проверьте сумму обеспечения заявки на участие + гарантийное обеспечение лицензионного вознаграждения (в извещении в разделе "Сведения об обеспечении заявки").Ускоренное зачисление  суммы, превышающей 100 тыс. рублей необходимо согласовать с Руководителем Группы. В зависимости от того, кто обращается с вопросом об ускоренном зачислении денежных средств, могут быть предоставлены следующие ответы:	Editorial
Перевод денежных средств между виртуальными счетами	"Возможность перевода между виртуальными счетами площадок РТС-тендер по 44-ФЗ и 223-ФЗ доступна в случае, если Участник зарегистрирован на обеих площадках. Такая возможность реализована только в Личном кабинете ЭП РТС-тендер по 223-ФЗ, где Вы можете перевести денежные средства с одного виртуального счета на другой.Для перевода денежных средств:1.  В Личном кабинете перейдите в раздел "Финансы и документы" / "Счета и транзакции";\n2.  Нажмите кнопку "Перевести денежные средства между счетами" или перейдите на страницу просмотра счета (нажав на номер виртуального счета) и нажмите кнопку "Перевести денежные средства между счетами";\n3.  Откроется страница "Перевод денежных средств между счетами". В поле "Счет списания" из выпадающего списка выбрать счет, с которого произойдет списание денежных средств;\n4.  В поле "Счет пополнения" из выпадающего списка выбрать счет, на который будут переведены денежные средства;\n5.  Укажите сумму, которая должна быть переведена (сумма может быть указана с копейками);\n6.  Нажмите кнопку "Осуществить перевод".Сформируется транзакция на перевод указанной суммы со счета списания на счет пополнения, которую можно просмотреть в разделе "Транзакции".	Editorial
Не указан номер виртуального счета организации	 "Если Вы не указали в платежном поручении номер виртуального счета, то для уточнения информации по зачислению денежных средств напишите уточняющее письмо на [info223@rts-tender.ru](mailto:info223@rts-tender.ru), прикрепив сканированную копию платежного поручения."	Editorial
Перечисление денежных средств на неверные реквизиты	"Если Вы перечислили денежные средства, указав неверные реквизиты:	Editorial
Не поступили денежные средства на виртуальный счет Участника	*   "Проверьте реквизиты, указанные в платежном поручении, на правильность заполнения (номер виртуального счета, реквизиты площадки);\n*   Обратитесь в банк для уточнения информации о переводе денежных средств на расчетный счет площадки.Если реквизиты указаны верно и банк перевел денежные сердства, напишите письмо на адрес электронной почты [info223@rts-tender.ru](http://rts-tender.ru) с пометкой "Для бухгалтерии", подробно опишите ситуацию и прикрепите копию платежного поручения".	Editorial
Отзыв денежных средств на неверные реквизиты/потерянные денежные средства	**Причина:** Денежные средства отозваны на неверные реквизиты. Например:*   В Личном кабинете указаны неверные рекизиты (некорректно заполнено одно из полей);\n*   В Личном кабинете указаны "старые" реквизиты;\n*   Указаны реквизиты другой организации (Участник пытался отозвать денежные средства на рекизиты другой организации) и т.д."Отозванные средства автоматически попадают на невыясненные счета и в течение 2-х дней они возвращаются в наш банк. Сотрудник бухгалтерии площадки направляет на Ваш адрес электронной почты  письмо с образцом заполнения заявления, которое Вам необходимо направить на адрес электронной почты площадки [info223@rts-tender.ru](mailto:info223@rts-tender.ru). После получения письма сотрудник бухгалтерии направляет средства на указанные в нем реквизиты.Если на Ваш адрес электронной почты такое письмо не поступило, Вы можете, не дожидаясь его, направить официальный запрос самостоятельно на адрес электронной почты площадки [info223@rts-tender.ru](mailto:info@rts-tender.ru). Указать в теме письма "Для бухгалтерии". Текст письма: "(ИНН, КПП, наименование организации просит возвратить денежные средства ХХХХХ руб. ХХ коп., отозванные с нашего виртуального счета № ....-223 по заявлению от ХХ.ХХ.2016 на наш расчетный счет по следующим реквизитам: (указать реквизиты". Письмо должно быть оформлено на фирменном бланке организации на имя Генерального директора ООО "РТС-тендер" Лишенкова Владимира Николаевича, заверено печатью организации и подписью руководителя".     	Editorial
Возврат денежных средств, в случае перечисления денежных средств от ЮЛ на виртуальный счет ФЛ	 В случае перечисления денежных средств от ЮЛ на виртуальный счет ФЛ Оператор ЭП будет осуществлять возврат перечисленных денежных средств на реквизиты ЮЛ на основании письма о возврате ошибочно перечисленных денежных средств.Для возврата денежных средств: на адрес электронной почты info@rts-tender.ru направьте письмо со следующим текстом: "(Наименование организации) ХХ.ХХ.2016 г. были ошибочно перечислены денежные средства в размере ХХХХХ руб. ХХ коп. на р/с ООО "РТС-тендер", платежное поручение №ХХ от ХХ.ХХ.ХХХХ. Просим вернуть денежные средства на следующие реквизиты: (указать реквизиты)". Письмо должно быть на имя Генерального директора ООО "РТС-тендер" Лишенкова Владимира Николаевича, оформлено на фирменном бланке организации, заверено подписью руководителя и печатью организации, отсканировано.Оригинал письма необходимо отправить на почтовый адрес: 121151, г. Москва, набережная Тараса Шевченко, д. 23-А (для бухгалтерии РТС-тендер). Также необходимо приложить отсканированный файл платежного поручения.	Editorial
Тарифы	 Тарифы площадки определяются в соответствии с Соглашением о гарантийном обеспечении на ЭП ООО РТС-тендер "Система комплексных программных решений для организации, проведения и сопровождения полного цикла закупки". Работа в качестве Заказчика на ЭП бесплатна, тариф списывается только с Участника, заключившего договор по результатам закупки.Для просмотра информации о тарифах на главной странице РТС-тендер внизу страницы (на сером фоне) в столбце "223-ФЗ" нажмите на ссылку "Тарифы".**Тарифы с 01.03.2017:****Тарифы до 01.03.2017:**	Editorial
Списание тарифа	"Тариф площадки списывается в соответствии с Соглашением о гарантийном обеспечении на ЭП ООО "РТС-тендер" "Система комплексных программных решений для организации, проведения и сопровождения полного цикла закупки".Тариф списывается в случае:*   Заключения Участником договора или признании участника уклонившимся от заключения договора по результатам закупки, осуществленной без проведения торгов (запрос предложений, запрос цен, запрос котировок, сбор коммерческих предложений, запрос котировок (Моск. обл.)) (п.4.10.2 Соглашения);\n*   Не размещения Заказчиком на ЭП информации о статусе договора с Победителем по результатам закупки, осуществленной без проведения торгов (запрос предложений, запрос цен и т.д) в течение 90 дней с момента публикации протокола результатов закупки на ЭП (п.4.10.3 Соглашения).При проведении закупки у единственного поставщика лицензионное вознаграждение не взимается.  \n\n При проведении предварительного отбора лицензионное вознаграждение не взимается.​	Editorial
Внесение изменений в сведения организации	*   О получении заявки на изменение данных;\n*   Об утверждении заявки на изменение данных.   "Для внесения изменений в сведения организации:1.  Войдите в Личный кабинет по электронной подписи;\n2.  Перейдите в раздел "Моя организация", далее в "Информация об организации";\n3.  Во вкладке "Карточка организации" нажмите кнопку "Создать заявку на внесение изменений". Откроется форма "Редактирование информации";\n4.  Отредактируйте необходимые разделы и поля, прикрепите актуальные документы;\n5.  После внесения изменений нажмите в нижней части страницы кнопку "Подать заявку на редактирование".Изменения утверждаются системой автоматически."	Editorial
