Question	Answer	Source
Заполнение извещения процедуры "Аукцион", "Аукцион (заявка в двух частях)", "Редукцион", "Редукцион (заявка в двух частях)", запроса котировок (Моск. обл.)	Форма извещения аукциона состоит из следующих разделов:*   Общие сведения о закупке (параметры указаны ниже в таблице);\n*   Сведения о порядке подачи заявок;\n*   Сведения о порядке работы комиссии (см.ст. "[Заполнение раздела "Сведения о порядке работы комиссии](http://vtiger.sibir.rts-tender/index.php?action=DetailView&module=Faq&record=4221367&start=)");\n*   Сведения о предоставлении документации;\n*   Сведения о порядке предоставления разъяснений (см. статью [Заполнение раздела "Сведения о порядке предоставления разъяснений"](http://vtiger.sibir.rts-tender/index.php?action=DetailView&module=Faq&record=3888485&start=));\n*   Сведения об организации, осуществляющей закупку;\n*   Сведения о контактном лице;\n*   Сведения об условиях участия (см. статью [Создание закрытой процедуры (закупки с ограниченным участием)](http://vtiger.sibir.rts-tender/index.php?action=DetailView&module=Faq&record=4015746&start=));\n*   Требования к участникам закупки;\n*   Информация о лоте (раздел информация "Информация о лоте" содержит следующие подразделы: [«Общие сведения»](http://vtiger.sibir.rts-tender/index.php?action=DetailView&module=Faq&record=3745810&start=), ["Товары, работы и услуги"](http://vtiger.sibir.rts-tender/index.php?action=DetailView&module=Faq&record=3745822&start=), ["Сведения об аукционе"](http://vtiger.sibir.rts-tender/index.php?action=DetailView&module=Faq&record=3745766&start=),  ["Сведения о заказчиках"](http://vtiger.sibir.rts-tender/index.php?action=DetailView&module=Faq&record=3745913&start=), ["Документы лота"](http://vtiger.sibir.rts-tender/index.php?module=Faq&parenttab=Support&action=DetailView&record=3745919));\n*   Документы.При формировании извещения в разделе "Общие сведения о закупке" у Заказчика есть возможность проставить следующие параметры процедуры (выбор параметров зависит от порядка проведения данной процедуры, регламентированного Положением о закупке Заказчика):	Editorial
Заполнение раздела "Сведения об аукционе / редукционе /  запросе котировок (Моск. обл.)"	*   Аукцион / редукцион /  запрос котировок с шагом;\n*   Тип шага аукциона/редукциона/ запрос котировок: Процент от НМЦ;\n*   Шаг аукциона/редукциона/запрос котировок: от 0,5 до 5% от НМЦ;\n*   Аукцион/редукцион/запрос котировок с продлением;\n*   Время ожидания понижающего ценового предложения - 10 мин.  При формировании извещения в разделе "Сведения об аукционе/редукционе/запросе котировок" у Заказчика есть возможность проставить следующие параметры процедуры (выбор параметров зависит от порядка проведения данной процедуры, регламентированного Положением о закупки Заказчика):	Editorial
Заполнение раздела "Сведения о переторжке"		Editorial
Заполнение раздела "Общие сведения" в лоте	**Кнопка "Заполнить данные лота на основе позиции плана"** (кнопка отображается при условии, что в разделе "Информация о лоте" на вкладке "Общие сведения" не заполнены поля "Наименование" и "Начальная (максимальная) цена", а на вкладке "Товары, работы и услуги" не заполнены поля "Коды ОКПД2" и "Коды ОКВЭД2") - при нажатии на кнопку "Заполнить данные лота на основе позиции плана" отображается окно для ввода номера и позиции плана. После ввода данных необходимо нажать кнопку "Выбрать" и форма автоматически заполнится данными из выбранной позиции плана.	Editorial
Заполнение раздела "Товары работы и услуги" в лоте	 <span style="color:#000000;font-family:calibri, arial, helvetica, sans-serif;font-size:14px;">При формировании извещения в разделе "Товары работы и услуги" у Заказчика есть возможность проставить следующие параметры процедуры (выбор параметров зависит от порядка проведения данной процедуры, регламентированного Положением о закупки Заказчика):</span>	Editorial
Заполнение раздела "Сведения о заказчиках" в лоте	**Кнопка "Добавить сведения о заказчике на основе позиции плана" **(кнопка отображается в случае если установлена галочка в чек-боксе "Несколько заказчиков (совместная закупка)") - при нажатии на кнопку отображается окно для ввода номера и позиции плана. После выбора позиции плана осуществляется проверка по ОКПД2 и ОКВЭД2 на соответствие данных кодов в извещении с позицией плана.  **Кнопка "Заполнить из плана"** будет активной только после заполнения полей "Регистрационный номер плана" и "Номер позиции плана".  \n При нажатии на кнопку данные по лоту заполнятся из позиции плана закупки. 	Editorial
Заполнение раздела "Документы" в лоте	Ограничение на размер прикрепляемого файла:*   Если закупка проходит по 223-ФЗ,  максимальный размер файла - 50 Мб;\n*   Для всех других закупок (коммерческая, ЗМО, ПП № 615) максимальный размер файла - 100 Мб. "Для добавления файлов, находящихся на Вашем компьютере, нажмите кнопку "Прикрепить файл". В открывшемся стандартном окне укажите путь к файлу и нажмите "Открыть". Добавленный файл отобразится в поле "Документы".Для удаления файла, нажмите кнопку "Удалить" напротив необходимого файла."	Editorial
Добавление / удаление лотов в многолотовой процедуре	 "Если при создании извещения вы указали, что закупка является многолотовой, то в разделе "Информация о лоте" будет отображаться кнопка "Добавить лот".Для добавления нового лота, нажмите кнопку "Добавить лот".Для создания нового лота на основе другого созданного, нажмите на знак "Копировать" напротив лота в виде нескольких листов.Для удаления созданного лота, нажмите на знак "Удалить" в виде корзины."	Editorial
Отказ от проведения закупки / аннулирование закупки	**Ответ Оператора: "**Для отказа от проведения процедуры необходимо:1.  Войдите в Личный кабинет по электронной подписи;\n2.  Перейдите в раздел "Закупки" и откройте необходимую процедуру;\n3.  В верхней части извещения нажмите кнопку "Отказ от проведения";\n4.  Заполните поля: "Дата принятия решения" и "Причина отказа от проведения закупки";\n5.  При необходимости прикрепите файл. После публикации отмены процедуры прикрепленный файл отобразится в извещении в разделе "Документы". \n6.  Нажмите кнопку "Опубликовать".Статус процедуры и лота изменится на "Отменена".Если в окне "Отказ от проведения закупки" включен параметр "Закупка аннулирована", то при публикации отмены закупка перейдет в статус "Аннулирована"."	Editorial
Создание извещения путем копирования существующего	 "При создании извещения Вы можете вручную заполнять  "пустую" форму черновика извещения либо скопировать извещение из ранее созданных.Создание извещения путем копирования существующего возможно 2 способами:**1 способ: ** В разделе "Закупки" откройте нужное извещение и вверху страницы нажмите кнопку "Создать копию извещения". Таким способом может быть создана закупка из извещений, которые уже опубликованы в Личном кабинете Заказчика.При нажатии кнопки откроется черновик извещения, заполненный сведениями из закупки, которую копируете. Все поля активны для редактирования. Внесите нужные изменения и опубликуйте созданное извещение.**2 способ:** В разделе "Закупки" в табличной форме найдите нужную закупку и в столбце "Навигация" нажмите ссылку "Копировать". Таким способом может быть создана закупка из извещений, находящихся в любом статусе, включая "Формирование".При нажатии ссылки "Копировать" откроется черновик извещения, заполненный сведениями из закупки, которую копируете. Все поля активны для редактирования. Внесите нужные изменения и опубликуйте созданное извещение."	Editorial
Параметр "Автоматическое снижение шага"	Установить автоматическое снижение шага возможно только при условии, если при выборе параметра "Шаг аукциона" выставляется диапазон** **(в числовом или % значении), в рамках которого будет проходить последующее снижение.Снижение происходит на "Величину автоматического снижения шага", установленную при формировании извещения, путем вычитания из большего значения в "Шаге аукциона"."Время ожидания ценового предложения" устанавливается в минутах и в зависимости от наличия параметра "Аукцион с продлением"  будет иметь различное назначение:*   Если аукцион без продления – это будет временем, по истечении которого произойдет снижение шага аукциона на "Величину автоматического снижения шага".\n*   Если аукцион с продлением – это будет временем, по истечении которого произойдет снижение шага аукциона на "Величину автоматического снижения шага" при условии отсутствия ценовых предложений, а также временем, на которое будет продлеваться время подачи ценового предложения на текущий фиксированный шаг, после каждого поданного ценового предложения, улучшающего цену контракта.Примеры проведения аукциона при установке данного параметра для аукциона с продлением и без продления.**Аукцион с продлением**Выставим следующие значения:"Шаг аукциона" - диапазон от 1% до 5%;"Время ожидания ценового предложения" -  10 минут;"Величина автоматического снижения шага" - 1%;"Аукцион с продлением"  - да** **(выставляем галочку в чек-бокс).При таком варианте Участники могут подавать ценовые предложения путем снижения НМЦ на максимальное значение  из указанного диапазона, т.е. 5%. При наличии ценовых предложений аукцион будет продлеваться на величину автоматического снижения шага (10 мин.) после каждого поданного ценового предложения, улучшающего цену контракта. Отсутствие ценовых предложений в течение 10 минут послужит фактором снижения шага аукциона на "Величину автоматического снижения шага" - 1%. Завершится такой аукцион через 10 минут после того как будут отсутствовать ценовые предложения и когда текущее значение шага станет равно минимальному (в нашем случае, когда шаг аукциона составит 1%).** Аукцион без продления**Выставим следующие значения:"Шаг аукциона" - диапазон от 1%  до 5%;"Время ожидания ценового предложения" -  10 минут;"Величина автоматического снижения шага" - 1%;"Аукцион с продлением"  - нет (не выставляем галочку в чек-бокс).При таком варианте Участники могут подавать ценовые предложения путем снижения НМЦ на максимальное значение  из указанного диапазона, т.е. 5%. По истечении "Времени ожидания ценового предложения" (в нашем случае, это 10 мин.)  произойдет снижение шага аукциона на "Величину автоматического снижения шага" - 1%. Завершится такой аукцион через 10 минут после того, как текущее значение шага станет равно минимальному (в нашем случае, когда шаг аукциона составит 1%).	Editorial
Заполнение раздела "Сведения о порядке предоставления разъяснений"	 "В форме извещения сроки направления запросов и предоставления ответов установлены по умолчанию:Заполненные поля доступны для редактирования. Вы можете заполнить их на свое усмотрение.Если Вы публикуете закупку, отличную от аукциона/конкурса, и по Положению о закупке разъяснения не предоставляются включите чек-бокс "Разъяснения не производятся". При активации этого чек-бокса в разделе "Сведения о порядке предоставления разъяснений" поля будут скрыты. Подача запросов на разъяснения по таким закупкам будет невозможна."	Editorial
Создание закупки на основе позиции плана закупки	 "Возможность создания закупки на основе позиции плана закупки  возможна только после отправки плана закупок в ЕИС.Для публикации извещения на электронной площадке через выбранную позицию плана закупок:1.  \n\nВ Личном кабинете откройте нужный план закупок. Перейти к плану закупок можно двумя способами:\n\n        1 способ: раздел "Закупки" / нажать кнопку "Создать извещение" / из выпадающего списка выберите "Создать извещение из плана" / из списка выберите нужный план закупок (в списке отобразятся только те планы, которые интегрированы в ЕИС / с ЕИС);2 способ: раздел "Планы закупок" / нажать на номер нужного плана закупок;1.  \n\nВыберите позицию плана, поставив галочку напротив нужной позиции (позиций);\n\n2.  \n\nНажмите кнопку "Создать извещение";\n\n3.  \n\nВыберите нужный способ закупки;\n\n        Откроется черновик извещения."	Editorial
Удаление черновика извещения	"Для удаления черновика извещения:1.  Перейдите в раздел "Закупки Личного кабинета";\n2.  Откройте черновик извещения, который необходимо удалить;\n3.  В нижней части формы извещения нажмите кнопку "Удалить черновик" и подтвердите действие в диалоговом окне".	Editorial
Создание закрытой процедуры (закупки с ограниченным участием)	"На электронной площадке Вы можете проводить все** **типы закупок с ограниченным участием, т.е. принять участие в закупке смогут только те Участники, которые будут указаны в списке приглашенных Участников при формировании процедуры. Такая закупка не будет отображаться в открытом доступе.Для публикации закрытой процедуры:1.  В Личном кабинете сформируйте список приглашенных Участников;\n2.  Опубликуйте извещение. **Формирование списка приглашенных Участников**Сформировать список приглашенных Участников можно двумя способами:**1 способ: создание "Реестра квалифицированных подрядных организаций".**Для того чтобы сформировать реестр квалифицированных подрядных организаций:1.  Перейдите в раздел "Моя организация" / "Реестр квалифицированных подрядных организаций​";\n2.  Откроется "Реестр квалифицированных подрядных организаций​​". \n3.  Для формирования перечня квалифицированных подрядных организаций нажмите кнопку "Создать". Откроется форма создания перечня;\n4.  Заполните обязательные поля (наименование перечня, дату начала действия перечня);\n5.  Добавьте Участников, нажав кнопку "Добавить поставщика";\n6.  При нажатии кнопки откроется окно "Поиск поставщика". Осуществите поиск нужных организаций Участников;\n7.  Если список сформирован нажмите кнопку "Сохранить".Сформированный перечень будет успешно сохранен и отобразится в "Реестре квалифицированных подрядных организаций​". В сохраненный перечень могут быть внесены изменения. Для этого в открытом перечне требуется нажать кнопку "Редактировать".**2 способ: при создании извещения закупки с ограниченным участием (кнопка "Добавить участника").**Для того чтобы сформировать перечень квалифицированных подрядных организаций:1.  Откройте нужный черновик извещения;\n2.  Перейдите в раздел "Сведения об условиях участия";\n3.  Включите параметр "Закупка с ограниченным участием";\n4.  Нажмите кнопку "Добавить участника";\n5.  При нажатии кнопки откроется окно "Поиск поставщика". Осуществите поиск нужной организации Участника.Добавленный Участник отобразится в табличной форме "Список приглашенных участников".**Особенности публикации извещения**Для публикации процедуры с ограниченным участием:1.  Откройте черновик извещения;\n2.  В разделе "Сведения об условиях участия" включите чек-бокс "Закупка с ограниченным участием"; \n3.  После установки чек-бокса появится дополнительный параметр "Отображать перечень приглашенных участников в опубликованном извещении". При включении параметра в форме опубликованного извещения будет отображаться список приглашенных Участников;\n4.  Добавьте список Участников, которых требуется пригласить на участие в закупке. Добавить Участников возможно двумя способами:1 способ: выбрав список Участников из "Реестра квалифицированных подрядных организаций​". Использование такого способа возможно только в случае, если ранее в Личном кабинете был создан список квалифицированных подрядных организаций​.В поле "Перечень квалифицированных поставщиков" нажмите кнопку "Выбрать" и выберите нужный перечень квалифицированных поставщиков. 2 способ: добавление Участников вручную.Нажмите кнопку "Добавить участника".	Editorial
Отмена лота в опубликованной многолотовой закупке	 " Для отмены лота (лотов) в многолотовой закупке:1.  Войдите в Личный кабинет по электронной подписи;\n2.  Перейдите в раздел Закупки" и осуществите поиск необходимой процедуры;\n3.  Перейдите в раздел лота и нажмите кнопку "Отмена лота";\n4.  Укажите дату принятия решения и причину отмены, после чего нажмите кнопку "Отмена лота";\n5.  Подтвердите действие в диалоговом окне;\n6.   Интегрируйте данную операцию и разместите данные изменения в ЕИС.	Editorial
Автоматическое продление сроков подачи заявок на участие	 "В случае если истек срок подачи заявок и было подано 0 или 1 заявка, то сроки подачи заявок могут быть продлены автоматически. Для того чтобы сроки продлевались автоматически, в черновике извещения в разделе "Общие сведения о закупке" включите параметр "Возможно продление сроков подачи заявок" и укажите количество дней (календарных или рабочих) в поле "Срок продления". В поле "Сроки будут продлены при следующем условии" из выпадающего списка выберите условия автопродления сроков: *   Подано 0 или 1 заявка (стоит по умолчанию);\n*   Подана 0 заявок;\n*   Подана 1 заявка.Автоматическое продление сроков возможно только для способов закупок "Запрос цен", "Запрос котировок", "Запрос предложений".Если параметр включен, то при окончании срока подачи заявок система осуществляет проверку на количество поданных заявок. Если заявок 1 или 0, то тогда срок продлевается на количество дней, указанное в поле "Срок продления". В соответствии с выбранным условием будет продлеваться срок подачи заявок.При этом продлеваются все даты, указанные в извещении:*   Дата и время окончания срока подачи заявок;\n*   Дата и время начала срока рассмотрения заявок на участие;\n*   Дата и время окончания срока рассмотрения заявок на участие;\n*   Дата и время переторжки;\n*   Дата и время подведения итогов.Условия автоматического продления сроков подачи заявок:*   Автоматическое продление сроков возможно только для однолотовых закупок;\n*   Автоматическое продление сроков возможно только один раз."	Editorial
Создание и публикация совместной закупки	*   В случае размещения Организатором совместной закупки, такая закупка должна фигурировать в планах закупок у всех Заказчиков, для которых она размещается;\n*   Общая НМЦ будет рассчитываться автоматически;\n*   В Личном кабинете Организатора должны быть размещены все планы закупок Заказчиков,  для которых размещается совместная закупка. "Для создания совместной закупки заполните стандартную форму извещения, учитывая особенности заполнения формы: 1.  В разделе "Информация о лоте" перейдите в подраздел "Сведения о заказчиках". Установите отметку в чек-боксе "Несколько заказчиков";\n2.  В подразделе "Добавление информации о заказчике" для добавления Заказчика в поле "Заказчик" нажмите кнопку "Найти", откроется форма выбора Заказчика. Введите: Наименование, ИНН или КПП и нажмите кнопку "Поиск", сведения о Заказчике отобразятся ниже. Выберите Заказчика и нажмите кнопку "Выбрать";\n3.  Заполните оставшиеся обязательные поля в подразделе "Добавление информации о заказчике" и нажмите кнопку "Добавить". Информация о Заказчике отобразится в подразделе "Сведения о заказчиках, подписывающих контракты".Для добавления следующих Заказчиков повторите указанные действия."	Editorial
Особенности создания и публикации извещений филиалами	 "Перед размещением извещения на площадке проверьте, чтобы:1.   В Личном кабинете в ЕИС​ были установлены партнерские связи между Головной организацией и филиалом (запрос на установку связей направляет филиал) и в Личном кабинете в ЕИС у филиала был установлен признак "Обособленное подразделение";\n2.  На электронной площадке​ были настроены партнерские связи;\n3.  Для размещения плана закупок головная организация направляет URL-адрес филиалу для интеграции плана закупок с ЕИС на ЭП;\n4.  При создании извещения в качестве Заказчика должна быть указана Головная организация;\n5.  При направлении извещения в ЕИС используется URL-адрес способа закупки из Личного кабинета Заказчика (головной организации).	Editorial
Заполнение полей "Вид обеспечения заявки" и "Вид обеспечения договора"	**Обеспечение заявки** **Обеспечение договора**	Editorial
Публикация совместной закупки Организатором торгов	 "Если Вы являетесь Организатором торгов, то для того чтобы разместить совместную закупку по 223-ФЗ необходимо выполнить следующие действия:1.  В Личном кабинете на электронной площадке и ЕИС установите партнерские связи (порядок установки связей в ЕИС - см. статью "[Интеграция извещения о совместной закупке в ЕИС](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=7367)", порядок установки связей на ЭП - см. статью "[Партнерские связи](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=7543)");\n2.  В своем Личном кабинете на электронной площадке разместите план закупок каждого из Заказчиков, для которых будет размещена совместная закупка (см. статью "[Создание плана закупок Организатором торгов для Заказчиков](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=7853)");\n3.  Опубликуйте закупку на электронной площадке и в ЕИС (см. статью "[Создание и публикация совместной закупки](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=7875)"). При отправке извещения с площадки в ЕИС не требуетя вводить URL закупки Заказчика. Тип закупки автоматически подтянется из Положения о закупке с ЕИС первого по списку Заказчика."	Editorial
Создание закупки у единственного поставщика	 "Для создания и публикации новой процедуры:1.  Войдите в Личный кабинет по электронной подписи;\n2.  В разделе "Закупки" нажмите кнопку "Создать извещение";\n3.  В выпадающем списке выберите тип процедуры - "Закупка у единственного поставщика";\n4.  Заполните открывшуюся форму "Формирование черновика извещения" с учетом особенностей закупки;\n5.  После заполнения формы извещения нажмите кнопку "Опубликовать", расположенную внизу формы.\n6.  В появившемся окне подтвердите публикацию закупки нажатием кнопки  "Продолжить".В случае успешной публикации на экране появится уведомление о том, что процедура опубликована  статус изменится на  "Опубликована".**Особенности заполнения черновика извещения:***   В разделе "Сведения о единственном поставщике" требуется указать сведения о Поставщике, которому будет направлено приглашение. Участник, с которым планируется заключать договор, может быть аккредитован на электронной площадке или не аккредитован.Если Участник аккредитован - выберите организацию из реестра Участников, аккредитованных на электронной площадке (в таком случае после выбора организации, заполнение дополнительных полей не требуется). Участнику приглашение будет направлено в Личный кабинет и на электронную почту, указанную при аккредитации в качестве e-mail для получения уведомлений.Если Участник не аккредитован - укажите сведения об Участнике вручную (в таком случае поля будут доступны для редактирования). Если включен параметр "Направить приглашение к участию в закупке", то на указанный e-mail, будет направлено уведомление с требованием пройти аккредитацию в качестве Поставщика для участия в закупке.При проведении закупки у единственного поставщика доступен выбор только одной организации. *   В разделе "Сведения о порядке работы комиссии" указывается одна дата – дата и время подведения итогов.\n*   В разделе "Сведения о порядке предоставления разъяснений" по умолчанию включен чек-бокс "Разъяснения не производятся" и не подлежит редактированию, т.к. запросы о разъяснении документации, результатов, запросы о разъяснении по заявкам при проведении закупки у единственного поставщика не направляются.\n*   В "Сведениях о лоте" обеспечение заявки не устанавливается.	Editorial
Заполнение раздела "Сведения о порядке работы комиссии"	" Поле "Дата начала рассмотрения заявок" не отображается в форме извещения, доступ к заявкам предоставляется на основании даты окончания срока подачи заявок (значение автоматически подтягивается из поля "Дата и время окончания подачи заявок"). В поле "Дата и время рассмотрения заявок" указывается дата и время  рассмотрения заявок".	Editorial
Создание извещения по шаблону	 Вы можете создавать шаблоны извещений и далее при формировании извещения по выбранному способу закупки данные из шаблона, автоматически загрузятся в черновик извещения.**Для создания шаблона извещения:**1.  В Личном кабинете перейдите в раздел "Моя организация" / "Шаблонные значения извещения";\n2.  Откроется "Реестр шаблонов извещений";\n3.  Нажмите кнопку "Добавить";\n4.  Откроется страница "Создание шаблона";\n5.  Заполните необходимые поля:Раздел "Общие сведения о шаблоне":*   Наименование - поле обязательно для заполнения\n*   Способ закупкиРаздел "Сведения о порядке работы комиссии":Регламентный срок заключения договора.Раздел "Сведения о порядке предоставления разъяснений":*   Срок направления запроса о разъяснении документации (дней до окончания подачи заявок);\n*   Срок предоставления разъяснения документации;\n*   Срок направления запроса о разъяснении результата (дней после подведения итогов);\n*   Срок предоставления разъяснения результатов.Раздел "Сведения о заключении договора по лоту":*   Количество участников, у которых сохраняется блокирование обеспечения заявки;\n*   Срок направления договора;\n*   Срок подписания договора участником;\n*   Срок заключения договора.1.  Нажмите кнопку "Сохранить".Созданный шаблон отобразится в "Реестре шаблонов извещений". Созданные шаблоны можно отредактировать, удалить возможности нет.После того, как шаблон создан, при выборе способа закупки, указанного в шаблоне, в черновик извещения подтянутся сведения из шаблона.	Editorial
Создание извещения о проведении многоэтапной процедуры	"Для создания многоэтапной процедуры:1.  Войдите в Личный кабинет по электронной подписи;\n2.  В разделе "Закупки" нажмите кнопку "Создать извещение";\n3.  В выпадающем списке выберите нужный тип процедуры;\n4.  Установите галочку в чек-бокс "Закупка с проведением предварительного этапа", после чего отобразится  дополнительный блок "Информация об этапах закупки". Для добавления нового этапа необходимо нажать кнопку "Добавить этап";\n5.  Заполните данные в блоке "Информация об этапах закупки" (см.ст. "Заполнение раздела "Информация об этапах закупки");\n6.  После заполнения формы извещения нажмите кнопку "Опубликовать", расположенную внизу формы.\n7.  В появившемся окне подтвердите публикацию закупки нажатием кнопки  "Продолжить".В случае успешной публикации на экране появится уведомление о том, что процедура опубликована  статус изменится на  "Опубликована"."	Editorial
