Question	Answer	Source
ПО неправильно установлено или искажено 	**Причина: **На компьютере пользователя установлена программа КриптоПро ФКН CSP. **Решение: **1.  Удалите данную версию КриптоПро;\n2.  Запустите утилиту очистки реестра от компонентов КриптоПро;\n3.  Скачайте и установите с сайта КриптоПро версию КриптоПро CSP 3.6 (для Windows 8, 8.1, 10 версия должна быть не ниже 4.0).	Editorial
Минимум один обязательный документ каждого типа должен быть активен 	**Причина: **Ошибка возникает при отправке заявки на выпуск сертификата и связана с тем, что не все документы прикреплены в разделе "Документы заявителя".**Решение: **Перейдите во вкладку, подсвеченную красным, и с помощью кнопки "Добавить" прикрепите файл документа. Если документ отображается как прикрепленный, а при отправке заявки ошибка сохраняется, файлы документов прикрепляются с сетевого диска компьютера Пользователя. В данном случае отображается только название документа, а раздел системой определяется как незаполненный. Измените местоположение документов.	Editorial
К сожалению, Ваш браузер не поддерживается 		Editorial
Отсутствует шапка в заявлениях, формируемых на втором шаге 	**Причина: **На компьютере пользователя установлена ОС MacOS.**Решение: **Рекомендуйте Пользователю скачать заявления на другом компьютере, с другой операционной системой.	Editorial
Нет возможности прописать полностью ИНН 	**Причина:** Пользователь неверно указал тип организации. Вместо "ИП" установил радиокнопку в поле "ЮЛ".**Решение:** В форме заявки на первичный выпуск сертификата измените радиокнопку на "ИП".	Editorial
Вставьте ключевой носитель при установке сертификата 	**Решение: **Поставьте задачу по шаблону "Нетиповая задача" УЦ "FT-crypto". В задаче необходимо указать наименование, ИНН и контактные данные Пользователя, а также подробно описать сложившуюся ситуацию и полным описанием возникающей ошибки.	Editorial
Не удается подтвердить подлинность сертификата 	1.  Уточните у Пользователя при выполнении каких действий и на какой электронной площадке возникает ошибка (при возможности предоставьте скриншот);\n2.  Уточните контактные данные Пользователя;\n3.  Поставьте задачу в системе Мегаплан по шаблону "Нетиповая задача УЦ "FT-crypto"".	Editorial
При нажатии кнопки "Отправить запрос на сертификат" ничего не происходит	**Решение:**1.  Почистите куки и кэш файлы (см. статью "[Очистка куки-файлов и SSL-кэш на компьютере пользователя](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=6649)");\n2.  Проверьте включен ли режим совместимости в браузере, если включен - отключите.(см.ст. "[К сожалению, Ваш браузер не поддерживается/включен режим совместимости](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=1185733)").                                                               	Editorial
Отсутствует кнопка "Изменить" в отклоненной заявке на выпуск сертификата 	**Причина: **Пользователь переходит не по ссылке из уведомления об отклонении, а по сохраненной у него ссылке на заявку.**Решение:** Перейти по ссылке из уведомления об отклонении заявки на выпуск сертификата.                                                               	Editorial
Ошибка при скачивании заявлений в форме заявки 	 "Для исправления ошибки скачайте исправление  на сайте [http://cryptoca.ru/](http://cryptoca.ru/) в разделе "Помощь"/"Файлы" (или по ссылке [http://cryptoca.ru/files/ie8.zip](http://cryptoca.ru/files/ie8.zip)).  Архив скачайте на компьютер и распакуйте в любую папку. Двойным кликом откройте ie8.reg. На предложение системы добавить информацию в реестр,кликните на значение "Да". После установки закройте все вкладки браузера и откройте заявку заново. Заявления станут доступны для скачивания".	Editorial
Набор ключей не существует 	**Причина: **Ошибка связана с невозможностью записать сертификат на носитель, что связано с его некорректной работой.**Решение:** Сгенерируйте ключ на любой другой носитель.	Editorial
Подпись повреждена или недоступна 	**Решение: **Сохраните установочный файл драйвера ключевого носителя на локальный диск компьютера Пользователя и выполните установку.	Editorial
Internet Explorer не может отобразить эту веб-страницу при входе в сервис управления сертификатами 	**Решение:**1.  Запустите программу настройки для корректной работы площадки (скачать: Центр поддержки пользователей / База знаний Участникам / Что необходимо новому Участнику / п. 3 статьи "Настройка компьютера для работы на площадке"); \n2.  Добавьте страницу в надежные узлы; \n3.  Проверьте, установлена ли на компьютере программа КриптоПро CSP. Если не установлена, установите; \n4.  Проверьте наличие антивирусной программы. Если установлен "Kaspersky Internet Security", отключите проверку защищенных соединений. Для этого откройте окно программы "Kaspersky Internet Security", перейдите в раздел "Утилиты" - "Монитор соединений", в первой закладке переключите блокировку на значок с красным крестиком; \n5.  Очистите кэш и куки-файлы; \n6.  Удалите утилиту КриптоПро CADESCOM с компьютера ("Пуск" - "Панель управления" - "Программы и компоненты" / "Установка удаление программ" - найдите и выделите в списке КриптоПро CADESCOM - нажмите "Удалить"). Скачайте и установите с сайта Крипто Про актуальную версию утилиты, в зависимости от разрядности оперционной системы (главная страница сайта - меню "Загрузка" - КриптоПро CADESCOM); \n7.  Перезагрузите компьютер.	Editorial
На вашем компьютере установлена версия Крипто-про ниже R3..	**Причина:** На компьютере Пользователя не установлена/установлена неподходящая версия криптопровайдера КриптоПро CSP.**Решение:** Рекомендуйте Пользователю установить/переустановить программу КриптоПро CSP (см.ст. "[Установка Крипто Про CSP](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=5658)").	Editorial
Введен неверный Guid 	**Причина:** Заявка на получение сертификата была удалена пользователем.                                                             	Editorial
Не удается построить цепочку сертификатов для доверенного корневого центра 	**Причина: **Не установлен корневой сертификат Удостоверяющего центра.**Решение: **Переустановите корневой сертификат Удостоверяющего центра.	Editorial
Недостаточно места на носителе. Вставьте другой ключевой носитель	**Решение:** Вставьте и сгенерируйте сертификат на другой ключевой носитель.	Editorial
Не прикрепляются файлы		Editorial
Заявка недоступна для загрузки документов	**Причина: ***   Кэширование страницы в браузере;\n*   Переход в заявку был осуществлен по некорректной ссылке.**Решение: **1.  Очистите Cookie-файлы и SSL-кэш на компьютере Пользователя;\n2.  Осуществите переход в сервис управления сертификатами по корректной ссылке (см.ст. "[Вход в Сервис управления сертификатами](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=4617)")	Editorial
В тексте имени содержится не разрешенный символ	**Причина:** Некорректно введены сведения о пользователе (например, имя прописано на английской раскладке).**Решение: **Проверьте введенные данные.	Editorial
Разблокировка eToken. Введение нового пароля 	**Ответ Оператора: "**Для разблокирования  eToken:1.  Проверьте установлен ли на ПК eToken PKI Client: Если установлен, то в правом нижнем углу экрана ПК (в трее) отразится значок программы eToken. Если не установлен, то скачайте  eToken PKI Client с сайта УЦ "FT-crypto" [http://cryptoca.ru/  ](http://cryptoca.ru/) (Раздел "Помощь" - "Файлы" - Драйвер ключевого носителя eToken PKI Client);\n2.  Войдите в режим настройки (нажмите значок "Шестеренка" в правом углу);\n3.  Выберите носитель (eToken OTC);\n4.  Убедитесь, что проблема с eToken вызвана многократным неправильным вводом pin-кода. Количество попыток указано в поле "Попыток пароля пользователя - Осталось" (количество попыток должно быть равным 0);\n5.  Войдите с правами администратора, нажав на вход (с правой стороны, четвертый значок с зеленой стрелкой);\n6.  В появившемся окне "Вход: eToken OTC" введите pin-код администратора. Для eToken УЦ "FT-crypto" pin-код: 0987654321;\n7.  Нажмите кнопку "Установить пароль пользователя" (справа первый значок). В появившемся окне установите пароль пользователя. По умолчанию: 1234567890;\n8.  После ввода пароля появится подтверждение об успешной смене пароля.	Editorial
Подписание документов в формате docx ЭП, полученной в УЦ "FT-crypto"	 "Подписание документов в формате .docx электронной подписью, полученной в УЦ "FT-crypto" возможно. Для этого требуются дополнительные надстройки и программы (например КриптоАРМ, КриптоПро Office Signature). Дистрибутивы и инструкции по их использованию представлены на официальном сайте Крипто Про. По вопросам, связанным с этими продуктами обращаться необходимо в поддержку сайта Крипто Про."	Editorial
Проверка подлинности сертификата, полученного в УЦ "FT-crypto"	**Проверка подлинности электронной подписи:**1.  Перейдите на сайт Госуслуги ([http://www.gosuslugi.ru/pgu/eds](http://www.gosuslugi.ru/pgu/eds));\n2.  В разделе "Выберите сертификат для проверки" нажмите кнопку "Загрузить файл";\n3.  Выберите открытый ключ сертификата (файл с разрешением .cer);\n4.  Введите символы с картинки и нажмите кнопку "Проверить".Если сертификат является подлинным, появится уведомление о том, что подлинность сертификата подтверждена.	Editorial
Установка личного сертификата с RuToken, eToken 	**Ответ Оператора:  **Для установки** **личного сертификата с ключевого носителя RuToken, E-Token:1.  Откройте программу КриптоПро ("Пуск" / "Все программы" / КриптоПро CSP);\n2.  Перейдите на вкладку "Сервис" и нажмите кнопку “Просмотреть сертификаты в контейнере”;\n3.  С помощью кнопки "Обзор" выберите контейнер закрытого ключа и нажмите кнопку "Ок";\n4.  Нажмите кнопку "Далее";\n5.  Нажмите кнопку "Установить сертификат", "Далее";\n6.  Поставьте точку в разделе "Поместить все сертификаты в следующее хранилище";\n7.  Нажмите кнопку "Обзор", выберите папку "Личные" и нажмите "Ок";\n8.  Нажмите "Далее", затем "Готово".	Editorial
Установка личного сертификата с флэш-карты 	Для установки личного сертификата с флэш-карты:1.  Вставьте в компьютер ключевой носитель подписи (флэш-карту);\n2.  Откройте программу КриптоПро CSP (Пуск / Все программы / папка КриптоПро / КриптоПро CSP);\n3.  В окне программы выберите вкладку "Сервис" и нажмите кнопку "Установить личный сертификат";\n4.  Через кнопку "Обзор" выберите открытый ключ сертификата (файл с расширением .сer);\n5.  В окне выбора ключевого контейнера нажмите "Обзор" и в списке контейнеров выберите контейнер, соответствующий устанавливаемому сертификату;\n6.  В дополнительном окне нажмите "Ок";\n7.  Через кнопку "Обзор" в поле "Имя хранилища сертификата" выберите "Личные";\n8.  В итоговом окне нажмите кнопку "Готово".	Editorial
Установка электронной подписи на другой компьютер	"Электронная подпись, выданная УЦ "FT-crypto", не привязана к компьютеру пользователя и может использоваться на других.Для установки электронной подписи на другой компьтер:1.  Скачайте и установите программу КриптоПро CSP (версия КриптоПро должна быть не ниже 3.6, для ОС Windows 8, 8.1, 10 версия должна быть не ниже 4.0);\n2.  Установите драйвер ключевого носителя (главная страница УЦ "FT-crypto" (http://cryptoca.ru/) / Помощь / Файлы / Драйвер ключевого носителя);\n3.  Установите корневой сертификат УЦ "FT-crypto" (главная страница сайта FT-crypto (http://cryptoca.ru/) / О нас / Сертификаты УЦ);\n4.  После установки необходимых программ установите личный сертификат электронной подписи через КриптоПро (см. статью "[Установка личного сертификата с RuToken, eToken](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=5639)").	Editorial
Смена пин-кода контейнера 	 "Для смены стандартного pin-кода контейнера выполните следующие действия:1.  Проверьте установлен ли на ПК eToken PKI Client: Если установлен, то в правом нижнем углу экрана ПК (в трее) отразится значок программы eToken. Если не установлен, то скачайте  eToken PKI Client с сайта УЦ "FT-crypto" [http://cryptoca.ru/  ](http://cryptoca.ru/) (Раздел "Помощь" - "Файлы" - Драйвер ключевого носителя eToken PKI Client);\n2.  Войдите в режим настройки (нажмите значок "Шестеренка" в правом углу);\n3.  Выберите носитель (eToken OTC);\n4.  Нажмите кнопку "Изменить пароль" (слева четвертый значок). В появившемся окне введите текущий пароль. По умолчанию: 1234567890. В поле "Новый пароль для  eToken" введите новый пароль и подтверждение;\n5.  Нажмите кнопку "Ок". После ввода пароля появится подтверждение об успешной смене пароля.	Editorial
Копирование электронной подписи 	Для того чтобы скопировать электронную подпись:1.  Запустите программу КриптоПро (Пуск / Все программы / КриптоПро / КриптоПро CSP);\n2.  Перейдите на вкладку "Сервис" и нажмите кнопку "Скопировать";\n3.  Через кнопку "Обзор" укажите путь к необходимому сертификату (ключевому контейнеру закрытого ключа) и нажмите кнопку "Далее";\n4.  Укажите имя создаваемого контейнера (рекомендуется указывать имя контейнера латинскими буквами) и нажмите кнопку "Готово";\n5.  В списке устройств выберите "Реестр"/"Дисковод"/"Ключевой носитель" и нажмите кнопку "Ок". Контейнер закрытого ключа будет скопирован;\n6.  Для установки личного сертификата перейдите на вкладку "Сервис";\n7.  Нажмите кнопку "Просмотреть сертификаты в контейнере";\n8.  Из списка контейнеров закрытого ключа выберите скопированный в реестр и нажмите кнопку "Далее";\n9.  Нажмите кнопку "Установить", далее "Ок", "Готово".	Editorial
Экспорт сертификата электронной подписи 	"Для того, чтобы выполнить экспорт открытого ключа:1.  Войдите в браузере во вкладку "Сервис" - "Свойства обозревателя"/ "Свойства обозревателя";\n2.  Перейдите во вкладку "Содержание", далее кнопка "Сертификаты";\n3.  В открывшемся списке выделите сертификат, который необходимо экспортировать и нажать кнопку "Экспорт";\n4.  В окне Мастера экспорта сертификатов нажмите "Далее";\n5.  Выберите "Нет, не экспортировать закрытый ключ", нажимаем "Далее";\n6.  Формат экспортируемого файла необходимо оставить по умолчанию, затем нажмите кнопку "Далее";\n7.  Имя файла введите вручную, нажмите "Далее", "Готово";\n8.  Сертификат экспортируется на рабочий стол компьютера."	Editorial
Генерация и установка сертификата	"Для отправки запроса на сертификат:1.  Войдите в Сервис управления сертификатами (см. статью "[Вход в Сервис управления сертификатами](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=4617)");\n2.  Откройте сведения о заявке и в верхней части формы нажмите кнопку "Отправить запрос на сертификат", после нажатия на которую появится подробная инструкция по генерации сертификата;\n3.  На первом этапе Система выдаст диалоговое окно с запросом на разрешение работы с хранилищем сертификатов, в диалоговом окне нажмите кнопку "Да";\n4.  В открывшемся окне КриптоПро выберите носитель для хранения контейнера закрытого ключа (eToken, реестр, флешка, другой носитель), затем нажмите кнопку "Ок";\n5.  Наведите курсор мыши на открывшийся Биологический датчик случайных чисел, двигайте курсором мыши в пределах окна датчика или нажимайте клавиши на клавиатуре, пока индикатор полностью не загрузится;\n6.  Далее введите пин-код для контейнера и нажмите кнопку "ОК" (пароль для eToken, выданного УЦ "FT-crypto" - 1234567890). Запрос будет отправлен;\n7.  После того, как запрос будет обработан, заявка перейдет в статус "Отправка бухгалтерских документов" и в форме заявки появится кнопка "Ознакомиться с содержанием сертификата";\n8.  Нажмите кнопку "Ознакомиться с содержанием сертификата" и в открывшемся дополнительном окне проставьте галочки в чек-боксы и нажмите кнопку "Ознакомлен";\n9.  В форме заявки нажмите кнопку "Установить сертификат" и следуйте подсказкам системы. После выполнения всех дейсвий сертификат будет установлен.	Editorial
Генерация закрытого ключа на имеющийся носитель у клиента	"Другой контейнер закрытого ключа можно добавить на старый носитель при генерации сертификата (выбрав носитель из списка) или через программу КриптоПро. Для копирования закрытого ключа, установленного в реестр или на другой носитель:1.  Запустите программу КриптоПро (Пуск / Все программы / папка КриптоПро / КриптоПро CSP);\n2.  Перейдите во вкладку "Сервис" и нажмите кнопку "Скопировать";\n3.  Выберите контейнер, который необходимо скопировать, с помощью кнопки "Обзор";\n4.  Нажмите кнопку "Далее" (возможно потребуется ввод PIN-кода);\n5.  Введите название нового контейнера, нажмите кнопку "Готово" и выберите носитель, на который копируете;\n6.  При необходимости задайте PIN-код для нового контейнера. При копировании в реестр или на Flash PIN-код придумывается самостоятельно, при копировании на токен указывается PIN-код, установленный на токене;\n7.  После копирования контейнера переустановите личный сертификат, для привязки его к новому носителю."	Editorial
Объем свободного места на носителе для записи сертификата	"Для записи контейнера с сертификатом на носитель достаточно 4-10 кб свободного места на носителе. Количество контейнеров, допустимых для записи на носитель Вы можете подсчитать самостоятельно, в зависимости от типа носителя. Если запись производится на E-token или Ru-token, объем памяти, доступной для записи и количество допустимых для записи сертификатов Вы можете уточнить у производителя продукта".	Editorial
Документы для прикрепления в заявку на  сертификат	 "В заявку на выпуск сертификата необходимо приложить сканированные копии следующих документов:**Для юридического лица:  ***   Устав;\n*   Свидетельства ИНН и ОГРН;\n*   Выписка из ЕГРЮЛ, полученная не ранее чем за 30 дней до даты подачи заявки на выпуск сертификата (возможно предоставление выписки в электронном виде с электронной подписью ФНС);\n*   Документ, подтверждающий полномочия руководителя;\n*   Паспорт владельца сертификата (2-3 и 4-5 страницы, если в паспорте много штампов о прописке, можно предоставить только последнюю страницу с актуальной пропиской);\n*   СНИЛС;\n*   Заявление на изготовление сертификата (формируется на втором шаге на основании данных, указанных в заявке);\n*   Заявление о присоединении к Регламенту УЦ (формируется на втором шаге на основании данных, указанных в заявке);\n*   Заявление о присоединении к Сублицензионному договору (если была заказана лицензия КриптоПро, формируется на втором шаге на основании данных, указанных в заявке);\n*   Доверенность на владельца сертификата ЭП по форме Удостоверяющего центра (если сертификат изготавливается не на руководителя, формируется на втором шаге на основании данных, указанных в заявке. Срок действия доверенности должен быть не менее срока действия сертификата (1 год), рекомендуется указывать срок действия 1,5 года);\n*   Доверенность на получение eToken (если сертификат изготавливается не на руководителя, формируется на втором шаге на основании данных, указанных в заявке).**Для Индивидуального предпринимателя:***   Свидетельства ИНН и ОГРНИП;\n*   Выписка из ЕГРИП, полученная не ранее чем за 30 дней до даты подачи заявки на выпуск сертификата;\n*   Паспорт владельца сертификата (2-3 и 4-5 страницы, если в паспорте много штампов о прописке, можно предоставить только последнюю страницу с актуальной пропиской);\n*   СНИЛС;\n*   Заявление на изготовление сертификата (формируется на втором шаге на основании данных, указанных в заявке);\n*   Заявление о присоединении к Регламенту УЦ (формируется на втором шаге на основании данных, указанных в заявке);\n*   Заявление о присоединении к сублицензионному договору (если была заказана лицензия КриптоПро, формируется на втором шаге на основании данных, указанных в заявке);\n*   Доверенность на получение eToken (если сертификат изготавливается не на руководителя, формируется на втором шаге на основании данных, указанных в заявке). **Для физического лица:***   Паспорт владельца сертификата (2-3 и 4-5 страницы, если в паспорте много штампов о прописке, можно предоставить только последнюю страницу с актуальной пропиской);\n*   СНИЛС;\n*   Заявление на изготовление сертификата (формируется на втором шаге на основании данных, указанных в заявке);\n*   Заявление о присоединении к Регламенту УЦ (формируется на втором шаге на основании данных, указанных в заявке);\n*   Заявление о присоединении к сублицензионному договору (если была заказана лицензия КриптоПро, формируется на втором шаге на основании данных, указанных в заявке).	Editorial
Отсутствует расчетный счет в банковских реквизитах 	"При заполнении заявки на изготовление сертификата, необходимо заполнить поле расчётный счет в банковских реквизитах. Если у банка есть только корреспондентский счет, то в поле "Расчётный счет" необходимо ввести 20 символов (например, все нули)."	Editorial
Заполнение поля "ОГРН" для иностранных организаций 	"Подать заявку на выпуск сертификата иностранная организация может только при наличии представительства, зарегистрированного на территории РФ. При заполнении формы заявки иностранной организацией в поле "ОГРН" необходимо прописать 13 нулей."	Editorial
Отсутствует заявление о присоединении к регламенту удостоверяющего центра 	При оформлении заявки на выпуск сертификата (первичный, перевыпуск) отсутствует заявление о присоединении к Регламенту Удостоверяющего центра.**Решение: **Заявление о присоединении к Регламенту Удостоверяющего центра может отсутствовать если:*   Пользователь подает заявку на перевыпуск сертификата;\n*   Пользователь подает заявку на первичный выпуск сертификата из Личного кабинета, при этом ранее данной организацией была подана заявка на выпуск сертификата, которая уже оплачена и сертификат сгенерирован.При этом предоставлять данный документ в Центр выдачи не требуется.	Editorial
Выбор полномочий при оформлении заявки на сертификат 	"При заполнении заявки на выпуск сертификата необходимо выбрать все полномочия, указанные в в поле "Выбор полномочий", а именно:*   **Администратор организации** - позволяет добавлять новых пользователей, менять регистрационные данные организации;\n*   **Уполномоченный специалист** - позволяет подавать заявки на участие, направлять запросы на разъяснения, подавать ценовые предложения;\n*   **Специалист с правом подписи контракта** - позволяет подписывать контракт.Наличие всех ролей гарантирует Вам беспрепятственную работу на электронных площадках."	Editorial
Ссылка на 94-ФЗ в заявке на сертификат 	"Отбор площадок для работы в рамках госзаказа проводился по 94-ФЗ, в одном из регламентов которого были определены правила выдачи электронной подписи. По 44-ФЗ отбор не производился, соответсвенно изменения в регламент не были внесены, поэтому в форме заявки на сертификат в поле "Тип сертификата" отображается 94-ФЗ."	Editorial
Не редактируются поля "Фамилия", "Имя", "Отчество" 	**Решение: **В случае если при внесении изменений в отклоненную заявку на выпуск сертификата не редактируются поля "Фамилия", "Имя", "Отчество", рекомендуйте пользователю создать новую заявку на сертификат и указать корректные данные.	Editorial
Заполнение заявки на получение нового сертификата	При** **заполнении заявки на сертификат:1.  Укажите сведения о компании и пользователе;\n2.  Выберите полномочия в разделе "Выбор полномочий". Для выбора полномочий необходимо поставить галочку в соответствующий чек-бокс (см. статью "[Выбор полномочий при оформлении заявки на сертификат](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=5655)");\n3.  Заполните раздел "Заказать дополнительно". Если требуется получить ключевой носитель или лицензию Крипто Про, установите галочку в соответствующий чек-бокс. Так же можно заказать дополнительное расширение области использования сертификата - "Возможность работы на площадках группы B2B" (стоимость данного расширения - 2000 руб);\n4.  Прикрепите документы, подтверждающие сведения, вносимые в сертификат (см. статью "[Документы для прикрепления в заявку на  сертификат](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=3346)");\n5.  Выберите из списка точку выдачи для предоставления документов и получения ЭП;\n6.  Установите галочки в двух чек-боксах и нажмите кнопку "Перейти к оформлению" (кнопка становится активной после заполнения всех обязательных полей в заявке). Откроется страница "Оформление документов на изготовление сертификатов";\n7.  В разделе "Шаг 1…" скачайте образцы документов:*   Заявление на изготовление сертификата;\n*   Заявление на присоединение к Регламенту Удостоверяющего центра;\n*   Заявление на присоединение к сублицензионному договору (если была заказана лицензия КриптоПро);\n*   Доверенность на получение токена (если пользователь, на которого выпускается электронная подпись действует по доверенности).1.  Распечатайте документы, заверьте подписью руководителя и печатью организации, и прикрепите отсканированные копии данных документов в соответствующие вкладки;\n2.  После заполнения всех разделов и прикрепления документов нажмите кнопку "Отправить".Заявка перейдет в статус "Отправлена в обработку" и будет отправлена на проверку Оператору Удостоверяющего центра.	Editorial
Заполнение заявки на перевыпуск сертификата	<div>"После открытия формы заявки на перевыпуск сертификата, заполните следующие разделы:</div><div>\n\n\n1.  После выбора электронной подписи автоматически заполнятся данными следующие поля:\n\n*   Фамилия, имя, отчество пользователя;\n*   Адрес электронной почты;\n*   Должность пользователя;\n*   ИНН, ОГРН, КПП и наименование организации.\n\n1.  Документы, прикрепленные в Личном кабинете Участника, автоматически подгружаются в соответствующие разделы. Необходимо проверить данные документы на актуальность.\n2.  Заполните остальные обязательные поля, при необходимости прикрепите документы;\n3.  После заполнения разделов и прикрепления документов поставьте галочки в чек-боксы "Подтверждение достоверности прикрепленных документов" и "Согласие на обработку персональных данных" и нажмите кнопку "Перейти к оформлению";\n4.  В открывшемся разделе "Оформение документов на изготовление сертификата" скачайте заявления. Распечатайте, подпишите и прикрепите сканированную копию заявлений в соответствующий раздел;\n5.  Для отправки заявки на перевыпуск сертификата нажмите кнопку "Отправить". Статус заявки изменится на "Отправлено в обработку", заявка поступит на рассмотрение Специалисту Удостоверяющего центра.</div>	Editorial
Раздел "Юридический / Почтовый адрес" 	<strong style="line-height:1.6">Ответ Оператора: **<span style="line-height:1.6">"В подразделе "Юридический адрес" указывается адрес организации в соответствии с учредительными документами. Для заполнения раздела:</span>\n\n</strong>*   В полях "Регион", "Район", "Город", "Населенный пункт" выберите из выпадающего списка нужное значение;\n*   В поле "Страна" по умолчанию проставлено значение "Российская Федерация";\n*   Если поле не требует заполнения, в выпадающем списке выберите прочерк;\n*   Заполните с клавиатуры обязательные поля "Улица", "Почтовый индекс", "Строение / корпус";\n*   Поле "ОКАТО" заполняется автоматически после заполнения других полей раздела.В разделе "Почтовый адрес" указывается адрес организации, используемый для направления почтовых сообщений. По умолчанию в разделе установлена галочка в поле "Совпадает с юридическим адресом". Если почтовый адрес не совпадает с юридическим, уберите галочку и заполните появившиеся поля по аналогии с заполнением полей в разделе "Юридический адрес".	Editorial
Подача заявки на получение нового сертификата / перевыпуск сертификата после отклонения	Для внесения изменений в отклоненную заявку на сертификат:	Editorial
Подача заявки на перевыпуск сертификата	**Ответ Оператора:** "Для перевыпуска сертификата:1.  Войдите в Личный кабинет на ЭП РТС-тендер по электронной подписи;\n2.  Перейдите в раздел "Моя организация", далее "Сертификаты ЭП" и нажмите ссылку "Мои сертификаты ЭП";\n3.  В разделе "Мои заявки" нажмите кнопку "Продлить текущий сертификат";\n4.  Часть информации заполнится автоматически. Заполните оставшиеся пустыми поля;\n5.  После заполнения разделов и прикрепления документов поставьте галочки в чек-боксы "Подтверждение достоверности прикрепленных документов" и "Согласие на обработку персональных данных" и нажмите кнопку "Перейти к оформлению";\n6.  В открывшемся разделе "Оформение документов на изготовление сертификата" заявление на изготовление сертификата уже сформировано и не скачивается. "Заявление на присоединение к Регламенту Удостоверяющего центра" отсутствует если перевыпускается сертификат, полученный в УЦ "FT-crypto";\n7.  Для отправки заявки на перевыпуск сертификата нажмите кнопку "Отправить". Статус заявки изменится на "Отправлено в обработку", заявка поступит на рассмотрение Специалисту Удостоверяющего центра.	Editorial
Подача заявки на получение нового сертификата	"Для отправки заявки на получение нового сертификата:	Editorial
Статусы заявки на получение сертификата  		Editorial
Подача заявки из черновика 	"Для отправки сохраненного черновика заявки:1.  Перейдите по ссылке, которая пришла в письме о сохранении черновика на адрес электронной почты, указанный при формировании заявки;\n2.  В открывшейся форме заявки на выпуск сертификата нажмите кнопку "Изменить";\n3.  При необходимости внесите изменения в заявку, поставьте галочки в чекбоксах "Подтверждение достоверности предоставляемых документов" и "Согласие на обработку персональных данных" и нажмите кнопку "Перейти к оформлению";\n4.  Скачайте, заверьте и прикрепите сканированные копии заявлений и нажмите кнопку "Отправить".\n5.  Заявка будет отправлена Оператору Удостоверяющего центра на рассмотрение."	Editorial
Получение  e-Token после оплаты заявки на получение сертификата	**Ответ Опертора: **"Заказать e-Token после оплаты заявки на получение сертификата можно направив письмо на адрес [uc@ft-crypto.ru](mailto:uc@ft-crypto.ru). По Вашей просьбе заявка будет переведена в статус "Отклонена". У Вас откроется возможность внести изменения в заявку. После отправки отредактированной заявки и дополнительной оплаты ключа Вы сможете получить e-Тoken".	Editorial
Редактирование заявки после ее одобрения 	"В случае если Вам необходимо внести изменения в заявку после ее одобрения Специалистом УЦ, например изменился КПП при получении сертификата, направьте на адрес электронной почты uc@ft-crypto.ru  письмо с просьбой отклонить заявку с целью ее редактирования".	Editorial
Срок хранения заявки на получение сертификата 	"Срок хранения заявки на получение сертификата, находящейся в любом статусе ("Черновик, "Ожидает оплаты", "Принята") не ограничен. Заявка будет храниться в системе до тех пор, пока пользователь не нажмет кнопку "Удалить" в нижней части формы заявки."	Editorial
Этапы и сроки получения сертификата электронной подписи в УЦ "FT-crypto" 	"Этапы и сроки получения сертификата электронной подписи:*   Подача заявки на выпуск сертификата (заявка рассматривается в течение 1 рабочего дня);\n*   Оплата счетов (денежные средства поступают в течение 3 банковских дней);\n*   Предоставление заверенных копий документов в Центр выдачи (срок не регламентирован);\n*   Генерация и установка сертификата (15-30 минут)."	Editorial
Этапы и сроки перевыпуска сертификата электронной подписи в УЦ "FT-crypto"  	*   Подача заявки на перевыпуск сертификата (заявка рассматривается в течение 1 рабочего дня). Заявку необходимо подать до окончания срока действия электронной подписи;\n*   Оплата счетов (денежные средства поступают в течение 3 банковских дней), возможно предоставление копии Платежного поручения с отметкой банка о списании на адрес электронной почты [uc@ft-crypto.ru](http://uc@ft-crypto.ru) с просьбой зачислить платеж в срочном порядке, в данном случае возможно зачисление в течение 1 рабочего дня;\n*   Генерация и установка сертификата (15-30 минут). Сгенирировать сертификат возможно после окончание срока действия электронной подписи, при входе под логином и паролем»	Editorial
Удаление заявки на сертификат	 "Техническая возможность удаления заявки на сертификат присутствует только в статусе "Черновик". Для удаления заявки:1.  Осуществите вход в сервис управления сертификатами (см.ст. "[Вход в Сервис управления сертификатами](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=4617)");\n2.  Откройте форму заявки на сертификат;\n3.  В нижней части экрана нажмите кнопку "Удалить" и подтвердите действие".	Editorial
Срок изготовления сертификата 	"Срок рассмотрения специалистом заявки на получение сертификата - 1 рабочий день. Вы генерируете сертификат самостоятельно. Поэтому Вы можете сформировать сертификат в Личном кабинете сразу после поступления оплаты на расчетный счет УЦ "FT-crypto" и предоставления заверенных копий документов в точку выдачи".	Editorial
